	z-dna_#	z-dna.slop100_#	z-dna.slop200_#	z-dna_%	z-dna.slop100_%	z-dna.slop200_%	quadruplex_#	quadruplex.slop100_#	quadruplex.slop200_#	quadruplex_%	quadruplex.slop100_%	quadruplex.slop200_%	sidd_#	sidd.slop100_#	sidd.slop200_#	sidd_%	sidd.slop100_%	sidd.slop200_%	h-dna_#	h-dna.slop100_#	h-dna.slop200_#	h-dna_%	h-dna.slop100_%	h-dna.slop200_%
miR-30	1	777	980	0.003990582225946766	3.100682389560637	3.9107705814278306	0	136	301	0.0	0.6715054559818299	1.48619957537155	198	366	549	1.2944560669456067	2.392782426778243	3.5891736401673637	0	129	358	0.0	0.7543859649122807	2.0935672514619883
miR-122	8	359	647	0.03192465780757413	1.4326190191148889	2.5819067001875573	70	318	530	0.3456278082259418	1.5701377573692787	2.616896262282131	165	466	660	1.078713389121339	3.0465481171548117	4.314853556485356	2	156	329	0.011695906432748539	0.9122807017543859	1.9239766081871346
miR-128	4	472	911	0.015962328903787064	1.8835548106468734	3.6354204078375036	10	300	622	0.049375401175134545	1.4812620352540364	3.071149953093369	105	430	746	0.6864539748953975	2.8111924686192467	4.877092050209205	0	187	537	0.0	1.0935672514619883	3.140350877192982
miR-130/301/454	1	207	456	0.003990582225946766	0.8260505207709805	1.8197054950317253	0	80	242	0.0	0.39500320940107636	1.1948847084382561	77	175	272	0.5033995815899581	1.1440899581589958	1.778242677824268	0	86	200	0.0	0.5029239766081871	1.1695906432748537
miR-132/212	0	126	339	0.0	0.5028133604692925	1.3528073745959535	0	99	220	0.0	0.4888164716338321	1.08625882585296	73	245	393	0.4772489539748954	1.6017259414225942	2.5692991631799162	0	96	233	0.0	0.5614035087719298	1.3625730994152045
miR-137	0	124	645	0.0	0.4948321960173989	2.573925535735664	0	82	283	0.0	0.4048782896361033	1.3973238532563077	173	366	576	1.1310146443514644	2.392782426778243	3.765690376569038	0	180	377	0.0	1.0526315789473684	2.2046783625730995
miR-138	15	730	1325	0.05985873338920149	2.913125024941139	5.287521449379465	29	483	1013	0.1431886634078902	2.384831876758999	5.00172813904113	36	287	609	0.23535564853556487	1.8763075313807533	3.9814330543933054	0	178	417	0.0	1.0409356725146197	2.43859649122807
miR-140	2	854	1743	0.007981164451893532	3.407957220958538	6.955584819825213	35	789	1667	0.1728139041129709	3.8957191527181156	8.23087937589493	228	983	1715	1.4905857740585775	6.426516736401673	11.212081589958158	0	451	1157	0.0	2.6374269005847952	6.76608187134503
miR-141/200a	0	203	405	0.0	0.8100881918671934	1.61618580150844	2	146	368	0.009875080235026909	0.7208808571569644	1.8170147632449514	128	323	527	0.8368200836820083	2.111663179916318	3.4453451882845187	0	176	446	0.0	1.0292397660818713	2.608187134502924
miR-142	14	532	1078	0.05586815116325472	2.1229897442036796	4.301847639570614	1	1229	1569	0.0049375401175134545	6.0682368044240365	7.74700044437861	530	1891	2238	3.464958158995816	12.36270920502092	14.631276150627615	0	323	942	0.0	1.8888888888888888	5.508771929824562
miR-143	0	257	560	0.0	1.0255796320683188	2.234726046530189	3	205	438	0.014812620352540364	1.0121957240902582	2.1626425714708932	132	345	684	0.8629707112970711	2.255491631799163	4.4717573221757325	9	336	596	0.05263157894736842	1.9649122807017545	3.4853801169590644
miR-144	0	114	244	0.0	0.4549263737579313	0.9737020631310107	0	81	223	0.0	0.3999407495185898	1.1010714462055005	140	290	461	0.9152719665271967	1.8959205020920502	3.0138598326359833	0	113	246	0.0	0.6608187134502924	1.4385964912280702
miR-145	0	195	482	0.0	0.7781635340596194	1.923460632906341	0	171	407	0.0	0.8443193600948008	2.009578827827976	131	350	658	0.8564330543933055	2.2881799163179917	4.301778242677824	1	168	400	0.0058479532163742695	0.9824561403508772	2.3391812865497075
miR-146	0	343	611	0.0	1.3687697034997406	2.438245740053474	3	178	393	0.014812620352540364	0.8788821409173949	1.9404532661827876	132	302	481	0.8629707112970711	1.9743723849372385	3.1446129707112966	0	132	305	0.0	0.7719298245614036	1.7836257309941521
miR-147	111	457	769	0.442954627080091	1.8236960772576718	3.0687577317530628	12	218	393	0.059250481410161454	1.0763837456179333	1.9404532661827876	8	46	81	0.05230125523012552	0.30073221757322177	0.5295502092050209	0	40	101	0.0	0.23391812865497078	0.5906432748538012
miR-148/152	14	323	622	0.05586815116325472	1.2889580589808052	2.482142144538888	2	255	497	0.009875080235026909	1.259072729965931	2.453957438404187	60	254	395	0.3922594142259414	1.6605648535564854	2.5823744769874475	0	108	283	0.0	0.631578947368421	1.6549707602339183
miR-155	0	78	210	0.0	0.31126541362384774	0.8380222674488208	0	71	172	0.0	0.35056534834345526	0.8492569002123143	136	260	398	0.889121338912134	1.6997907949790794	2.601987447698745	0	71	209	0.0	0.4152046783625731	1.2222222222222223
miR-181	8	517	839	0.03192465780757413	2.0631310108144776	3.3480984875693363	0	112	248	0.0	0.5530044931615069	1.2245099491433369	202	460	674	1.3206066945606694	3.0073221757322175	4.406380753138076	0	133	349	0.0	0.7777777777777778	2.04093567251462
miR-192/215	0	98	243	0.0	0.39107705814278304	0.9697114809050641	0	163	278	0.0	0.804819039154693	1.3726361526687405	46	150	383	0.30073221757322177	0.9806485355648535	2.5039225941422596	0	83	237	0.0	0.4853801169590643	1.3859649122807018
miR-194	0	116	241	0.0	0.4629075382098248	0.9617303164531705	4	108	262	0.019750160470053818	0.5332543326914532	1.2936355107885251	63	156	312	0.41187238493723854	1.0198744769874477	2.0397489539748954	0	94	231	0.0	0.5497076023391813	1.3508771929824561
miR-199	1	424	975	0.003990582225946766	1.6920068638014287	3.8908176702980968	14	731	1195	0.06912556164518836	3.6093418259023355	5.900360440428579	138	974	1405	0.9021966527196652	6.3676778242677825	9.185407949790795	0	268	753	0.0	1.567251461988304	4.4035087719298245
miR-202	0	130	282	0.0	0.5187756893730795	1.1253441877169879	0	262	525	0.0	1.2936355107885251	2.5922085616945636	80	266	509	0.5230125523012552	1.7390167364016735	3.3276673640167362	0	148	353	0.0	0.8654970760233919	2.064327485380117
miR-203a	1	303	767	0.003990582225946766	1.20914641446187	3.0607765673011693	2	2197	2618	0.009875080235026909	10.84777563817706	12.926480027650225	2938	3270	3654	19.2076359832636	21.378138075313807	23.888598326359833	0	1122	1604	0.0	6.561403508771931	9.380116959064328
miR-204/211	0	295	1050	0.0	1.1772217566542957	4.190111337244104	107	685	1508	0.5283167925739397	3.3822149804967165	7.44581049721029	430	773	1121	2.8111924686192467	5.053608786610879	7.328713389121338	113	1098	1636	0.6608187134502924	6.421052631578947	9.567251461988304
miR-205	0	243	545	0.0	0.9697114809050641	2.1748673131409872	10	284	571	0.049375401175134545	1.402261393373821	2.8193354071001826	140	454	790	0.9152719665271967	2.9680962343096233	5.164748953974895	10	282	587	0.058479532163742694	1.6491228070175439	3.4327485380116958
miR-208	0	30	75	0.0	0.11971746677840298	0.2992936669460074	0	23	57	0.0	0.11356342270280946	0.28143978669826697	10	25	43	0.0653765690376569	0.16344142259414224	0.2811192468619247	0	14	28	0.0	0.08187134502923976	0.16374269005847952
miR-216b	0	222	470	0.0	0.885909254160182	1.87557364619498	0	164	384	0.0	0.8097565792722066	1.8960154051251665	288	512	742	1.882845188284519	3.3472803347280333	4.8509414225941425	2	271	506	0.011695906432748539	1.584795321637427	2.9590643274853803
miR-218	52	542	918	0.2075102757492318	2.162895566463147	3.663354483419131	0	206	529	0.0	1.0171332642077717	2.611958722164618	113	402	680	0.738755230125523	2.6281380753138075	4.445606694560669	0	224	536	0.0	1.3099415204678362	3.134502923976608
miR-221/222	0	120	304	0.0	0.4788698671136119	1.2131369966878167	2	302	1311	0.009875080235026909	1.4911371154890634	6.473115094060139	75	201	1904	0.49032426778242677	1.3140690376569037	12.447698744769875	0	102	359	0.0	0.5964912280701754	2.0994152046783623
miR-302abd	0	181	412	0.0	0.7222953828963646	1.6441198770900673	0	152	380	0.0	0.7505060978620451	1.8762652446551127	106	255	399	0.6929916317991631	1.667102510460251	2.6085251046025104	0	128	296	0.0	0.7485380116959065	1.7309941520467838
miR-302c	2	182	416	0.007981164451893532	0.7262859651223114	1.6600822059938545	0	109	325	0.0	0.5381918728089666	1.6047005381918729	96	251	396	0.6276150627615062	1.6409518828451881	2.5889121338912133	0	102	265	0.0	0.5964912280701754	1.5497076023391814
miR-338	1	339	690	0.003990582225946766	1.3528073745959535	2.7535017359032685	18	309	641	0.0888757221152422	1.5256998963116575	3.1649632153261247	89	342	616	0.5818514644351463	2.2358786610878663	4.027196652719665	0	174	427	0.0	1.0175438596491229	2.497076023391813
miR-455	316	1171	1908	1.2610239833991779	4.672971786583663	7.61403088710643	10	698	1360	0.049375401175134545	3.446403002024392	6.715054559818298	187	774	1324	1.2225418410041842	5.060146443514644	8.655857740585773	0	429	966	0.0	2.508771929824561	5.649122807017544
miR-499	0	138	279	0.0	0.5507003471806536	1.1133724410391475	0	80	199	0.0	0.39500320940107636	0.9825704833851775	143	312	447	0.9348849372384936	2.0397489539748954	2.9223326359832638	0	97	246	0.0	0.5672514619883041	1.4385964912280702
miR-551	0	159	300	0.0	0.6345025739255358	1.1971746677840296	48	165	294	0.23700192564064582	0.81469411938972	1.4516367945489557	10	68	109	0.0653765690376569	0.444560669456067	0.7126046025104603	0	35	82	0.0	0.20467836257309943	0.47953216374269003
