	z-dna_slop100>slop_#	z-dna_slop200>slop100_#	z-dna_slop100>slop_%	z-dna_slop200>slop100_%	quadruplex_slop100>slop_#	quadruplex_slop200>slop100_#	quadruplex_slop100>slop_%	quadruplex_slop200>slop100_%	sidd_slop100>slop_#	sidd_slop200>slop100_#	sidd_slop100>slop_%	sidd_slop200>slop100_%	h-dna_slop100>slop_#	h-dna_slop200>slop100_#	h-dna_slop100>slop_%	h-dna_slop200>slop100_%
102	200	269	0.7981164451893532	1.07346661877968	131	170	0.6468177553942626	0.8393818199772872	242	208	1.5821129707112973	1.3598326359832638	150	203	0.8771929824561403	1.1871345029239766
103	621	830	2.4781515623129415	3.312183247535815	1062	879	5.243667604799289	4.3400977632943265	498	508	3.2557531380753137	3.321129707112971	2619	1615	15.31578947368421	9.444444444444445
104	187	277	0.7462388762520452	1.1053912765872542	271	685	1.3380733718461464	3.3822149804967165	272	222	1.778242677824268	1.4513598326359833	294	419	1.719298245614035	2.4502923976608186
105	232	199	0.9258150764196496	0.7941258629634064	123	182	0.607317434454155	0.8986323013874488	149	135	0.9741108786610879	0.8825836820083681	106	149	0.6198830409356726	0.8713450292397661
106	1074	1116	4.285885310666826	4.45348976415659	1162	2016	5.737421616550634	9.954080876907124	474	901	3.098849372384937	5.890428870292887	346	414	2.0233918128654973	2.4210526315789473
107	536	447	2.1389520731074665	1.783790254998204	330	345	1.62938823877944	1.7034513405421419	357	264	2.3339435146443517	1.7259414225941423	230	336	1.345029239766082	1.9649122807017545
108	144	130	0.5746438405363342	0.5187756893730795	69	81	0.3406902681084284	0.3999407495185898	86	113	0.5622384937238494	0.738755230125523	66	89	0.3859649122807018	0.5204678362573099
109	439	424	1.7518655971906298	1.6920068638014287	440	446	2.17251765170592	2.202142892411001	211	160	1.3794456066945606	1.0460251046025104	212	390	1.2397660818713452	2.280701754385965
110	407	499	1.6241669659603337	1.9913005307474358	1766	540	8.71969584752876	2.6662716634572656	2052	286	13.415271966527198	1.8697698744769873	314	715	1.8362573099415205	4.181286549707602
111	1817	1670	7.250887904545274	6.664272317331099	465	575	2.2959561546437564	2.8390855675702364	615	510	4.0206589958159	3.334205020920502	366	510	2.1403508771929824	2.982456140350877
112	1284	1470	5.123907578115647	5.8661558721417455	1126	2075	5.559670172320151	10.245395743840419	748	1423	4.890167364016737	9.303085774058577	608	908	3.5555555555555554	5.309941520467836
113	648	652	2.5858972824135043	2.601859611317291	753	696	3.7179677084876315	3.4365279217893647	245	331	1.6017259414225942	2.1639644351464433	225	285	1.3157894736842104	1.6666666666666667
114	337	495	1.34482621014406	1.9753382018436487	452	594	2.2317681331160815	2.932898829802992	186	729	1.2160041841004186	4.765951882845188	211	246	1.2339181286549707	1.4385964912280702
115	419	496	1.6720539526716947	1.9793287840695957	618	461	3.051399792623315	2.2762059941737025	485	181	3.17076359832636	1.18331589958159	395	376	2.309941520467836	2.198830409356725
116	1753	1436	6.99549064208468	5.7304760764595555	321	336	1.584950377721819	1.6590134794845206	349	266	2.281642259414226	1.7390167364016735	347	312	2.0292397660818713	1.8245614035087718
117	324	357	1.2929486412067521	1.4246378546629954	310	323	1.530637436429171	1.5948254579568457	204	237	1.3336820083682008	1.5494246861924685	155	239	0.9064327485380117	1.3976608187134503
